Include card in the game;ID number;Scenario text;Controversial score;Clean score;Difficulty level;;Notes 1
y;1;Encourages incest to lower population problem;50;100;1;;Maybe this card should be difficulty 2
y;2;Set off fire arm at anti-gun rally;50;100;1;;Clean score lowered from previous iteration
y;3;"Claims amputees are ""horrendously rude people as ""they would not high five me""";50;100;1;;
y;4;"Signs anti gay marriage bill claiming ""Fuck those f*gs!""";100;200;2;;
y;5;Subscribed to several channels and accounts supporting ISIS;100;200;2;;
y;6;"Browsing history leaked: searches include ""how to follow woman home without her noticing and ""where to find hidden home cameras""";50;100;1;;
y;7;Debutes a career in film… an adult film;100;200;2;;
y;8;On Epistein island list with gold stars around name;100;200;2;;
y;9;"States recent highscool shooting was ""big oopsies"" ";100;200;2;;
y;10;Breaking: Missing child found chained to radiator in poltitician basement;100;200;2;;
y;11;"Leaked classified military to russian spy claiming he ""didn’t realise hot women would understand what he was talking about""";100;200;2;;
y;12;"Throws elaborate part for recently sober alcoholics with plenty of alcohol because ""its not a celebration without a bit of champagne!""";50;100;1;;
y;13;"Discontinuing chilldhood cancer research because ""Fuck those kids!""";50;100;1;;
y;14;Quoting mein kampf in electorial speech ;50;100;1;;
y;15;"Leaked files show politcian trying to ressurect Hitler beacasue he ""wanted to learn a thing or two sfrom the man himself""";100;200;2;;
y;16;Watching graphic hentai porn in the middle of a legislative session;100;200;2;;
y;17;Brings out fire dancers at burn victims charity;50;100;1;;
y;18;"States he hasn’t paid taxes because ""He didn’t know it was an annual thing""";50;100;1;;
y;19;Embezzling money from a charity to support alcohol addiction;100;200;2;;
y;20;Urinating on the late queen Elizabeth's grave on the anniversary of her death;50;100;1;;
y;21;Hitting child after child politely asked to take photo with him;100;200;2;;
y;22;"States that paraplegic is ""Hero like Oscar Pistorius""";200;400;3;;
y;23;"States immigrants are important because ""Who will clean the floors?""";50;100;1;;
y;24;Attending a neo nazi rally;200;400;3;;
y;25;Feeding diet pills to the homeless people;100;200;2;;
y;26;"Caught in Mexico after families left homeless during drought claiming the flood was ""dampening his vibe""";50;100;1;;
y;27;Politican being found leaving orgy stopped by child protective services;50;100;1;;
y;28;"Enjoys using used and or expired condoms because ""I like the risk""";100;200;2;;
y;29;Claims that in 1000 years when paper money is a distant memory, jewish children will be our currency;50;100;1;;
y;30;Hands out award for best team building to group of Nazis;100;200;2;;
y;31;"Negotiating with North Korean arm dealer because ""they are done with this democratic bullshit""";200;400;3;;
y;32;"Claims halt to child slavery as ""using black people is cheaper"" and ""back to the good old days""";50;100;1;;
y;33;"Caught having affair with his sister and states ""nobody knows you better than your own kin""";100;200;2;;
y;34;Gave elementary teachers meth and LSD for teachers appreciation day;50;100;1;;
y;35;"Counter sueing pedestrian who was severely injured claiming ""stop whining like a little bitch""";100;200;2;;
y;36;"Found doing blackface claiming it was ""in support for black history month""";50;100;1;;
y;37;Claims dildos are the original selfie sticks while handing out to kids and pre-teens;100;200;2;;
y;38;Going to an orphanage and telling each chilld why they were left there;100;200;2;;
y;39;"Passed bills to throw waste into ocean as ""the ocean is big enough to hold all that shit""";100;200;2;;
